# node	root	cur_rel	neighborhood	judge	P[element_of]	P[subcategory]	P[subtopic]	P[super_category]	P[see_also]	P[assoc]	P[unknown]	P[none]	mu[element_of]	mu[subcategory]	mu[subtopic]	mu[super_category]	mu[see_also]	mu[assoc]	mu[unknown]	mu[none]	E_mu_fwd	E_mu_rev
Awards_and_prizes_of_the_Association_for_Women_in_Mathematics	Mathematics	subcategory	transitive_h3	gpt-5.5-low	0.030	0.152	0.394	0.000	0.091	0.273	0.030	0.030	0.050	0.250	0.650	0.000	0.150	0.450	0.050	0.000	0.433	0.138
Community_gardening	Nature	subcategory	transitive_h3	gpt-5.5-low	0.031	0.125	0.281	0.000	0.094	0.312	0.062	0.094	0.050	0.200	0.450	0.000	0.150	0.500	0.100	0.000	0.330	0.173
John_James_Audubon	People	subcategory	transitive_h3	gpt-5.5-low	0.423	0.115	0.077	0.000	0.077	0.192	0.038	0.077	0.550	0.150	0.100	0.000	0.100	0.250	0.050	0.000	0.315	0.058
Ancient_Greek_philosophers_of_language	History_of_logic	subcategory	transitive_h3	gpt-5.5-low	0.027	0.189	0.378	0.000	0.108	0.243	0.027	0.027	0.050	0.350	0.700	0.000	0.200	0.450	0.050	0.000	0.465	0.132
Christianity-related_lists_of_superlatives	Religion	subcategory	transitive_h3	gpt-5.5-low	0.021	0.171	0.377	0.000	0.082	0.240	0.055	0.055	0.030	0.250	0.550	0.000	0.120	0.350	0.050	0.000	0.347	0.097
Subtraction	Scientific_terminology	subcategory	transitive_h3	gpt-5.5-low	0.120	0.040	0.200	0.000	0.080	0.280	0.080	0.200	0.150	0.050	0.250	0.000	0.100	0.350	0.080	0.000	0.182	0.110
Pre-Columbian_civilizations	Society	subcategory	transitive_h3	gpt-5.5-low	0.031	0.155	0.342	0.000	0.093	0.280	0.050	0.050	0.050	0.250	0.550	0.000	0.150	0.450	0.050	0.000	0.370	0.142
Electrical_safety_standards_organizations	Technology	subcategory	transitive_h3	gpt-5.5-low	0.030	0.212	0.364	0.000	0.091	0.242	0.030	0.030	0.050	0.350	0.600	0.000	0.150	0.400	0.050	0.000	0.406	0.112
Cosmology_books	Universe	subcategory	transitive_h3	gpt-5.5-low	0.032	0.064	0.478	0.013	0.127	0.223	0.032	0.032	0.050	0.100	0.750	0.000	0.200	0.350	0.050	0.000	0.471	0.115
Former_medical_research_facilities_of_the_United_States_Army	History_of_science	subcategory	transitive_h3	gpt-5.5-low	0.014	0.106	0.390	0.007	0.057	0.248	0.071	0.106	0.020	0.150	0.550	0.000	0.080	0.350	0.100	0.000	0.329	0.097
Oneirologists	Sleep	subcategory	transitive_h3	gpt-5.5-low	0.057	0.144	0.460	0.006	0.086	0.201	0.029	0.017	0.100	0.250	0.800	0.000	0.150	0.350	0.050	0.000	0.494	0.093
Vancouver_Whitecaps_(1974–1984)_coaches	Canadian_soccer_clubs_in_American_leagues	subcategory	transitive_h3	gpt-5.5-low	0.031	0.219	0.281	0.012	0.125	0.219	0.050	0.062	0.050	0.350	0.450	0.000	0.200	0.350	0.080	0.000	0.310	0.107
Mountain_meteorology	Feedback	subcategory	transitive_h3	gpt-5.5-low	0.000	0.020	0.078	0.000	0.049	0.294	0.118	0.441	0.000	0.020	0.080	0.000	0.050	0.300	0.080	0.000	0.107	0.101
Systems	Concepts	subcategory	transitive_h3	gpt-5.5-low	0.078	0.285	0.233	0.026	0.130	0.181	0.041	0.026	0.150	0.550	0.450	0.050	0.250	0.350	0.080	0.000	0.374	0.113
Oaths	Culture	subcategory	transitive_h3	gpt-5.5-low	0.047	0.203	0.349	0.006	0.087	0.233	0.047	0.029	0.080	0.350	0.600	0.000	0.150	0.400	0.080	0.000	0.394	0.111
Visual_arts_publishing_companies	Cultural_economics	subcategory	transitive_h3	gpt-5.5-low	0.014	0.105	0.315	0.007	0.070	0.315	0.070	0.105	0.020	0.150	0.450	0.000	0.100	0.450	0.100	0.000	0.313	0.153
Academic_freedom_case_law	Education	subcategory	transitive_h3	gpt-5.5-low	0.024	0.179	0.417	0.006	0.089	0.208	0.048	0.030	0.040	0.300	0.700	0.000	0.150	0.350	0.080	0.000	0.436	0.092
Energy_production_in_Asia	Energy	subcategory	transitive_h3	gpt-5.5-low	0.025	0.272	0.421	0.005	0.099	0.149	0.020	0.010	0.050	0.550	0.850	0.000	0.200	0.300	0.040	0.000	0.574	0.076
American_women_electrical_engineers	Women_in_engineering	subcategory	transitive_h3	gpt-5.5-low	0.042	0.380	0.316	0.008	0.084	0.148	0.017	0.004	0.050	0.860	0.720	0.000	0.180	0.350	0.050	0.000	0.624	0.075
Free_software_project_foundations_based_in_the_United_States	Foundations	subcategory	transitive_h3	gpt-5.5-low	0.065	0.424	0.245	0.016	0.054	0.136	0.043	0.016	0.080	0.720	0.400	0.000	0.080	0.220	0.080	0.000	0.446	0.048
Jewish_agrarian_laws	Food_and_drink	subcategory	transitive_h3	gpt-5.5-low	0.025	0.115	0.223	0.013	0.051	0.318	0.140	0.115	0.020	0.120	0.280	0.000	0.050	0.420	0.180	0.000	0.238	0.148
Maritime_timelines	Geography	subcategory	transitive_h3	gpt-5.5-low	0.022	0.109	0.219	0.015	0.044	0.277	0.131	0.182	0.010	0.100	0.220	0.000	0.040	0.320	0.120	0.000	0.166	0.097
Dental_enamel	Medical_terminology	subcategory	transitive_h3	gpt-5.5-low	0.039	0.079	0.276	0.013	0.066	0.316	0.132	0.079	0.030	0.080	0.340	0.000	0.080	0.420	0.160	0.000	0.260	0.149
Temple_of_Artemis	Heritage_registers	subcategory	transitive_h3	gpt-5.5-low	0.057	0.028	0.099	0.014	0.156	0.319	0.199	0.128	0.040	0.020	0.100	0.000	0.180	0.380	0.220	0.000	0.206	0.170
Social_problems_in_medicine	Humanities	subcategory	transitive_h3	gpt-5.5-low	0.019	0.141	0.244	0.019	0.051	0.269	0.141	0.115	0.010	0.160	0.300	0.000	0.060	0.360	0.180	0.000	0.221	0.112
Clinical_data_management	Information	subcategory	transitive_h3	gpt-5.5-low	0.024	0.145	0.361	0.024	0.060	0.253	0.084	0.048	0.020	0.180	0.520	0.000	0.080	0.380	0.120	0.000	0.326	0.108
Apollo_in_art	Knowledge_deities	subcategory	transitive_h3	gpt-5.5-low	0.026	0.090	0.219	0.019	0.142	0.271	0.129	0.103	0.020	0.100	0.280	0.000	0.180	0.360	0.160	0.000	0.215	0.134
Spelling_reform	Language	subcategory	transitive_h3	gpt-5.5-low	0.020	0.264	0.396	0.020	0.071	0.173	0.041	0.015	0.020	0.460	0.720	0.000	0.120	0.300	0.080	0.000	0.470	0.064
Demographics_indicators	Science	subcategory	transitive_h4	gpt-5.5-low	0.033	0.164	0.362	0.013	0.033	0.230	0.066	0.099	0.050	0.200	0.450	0.000	0.050	0.300	0.100	0.000	0.275	0.075
Esports_films	Behavior	subcategory	transitive_h4	gpt-5.5-low	0.019	0.029	0.095	0.010	0.019	0.286	0.114	0.429	0.000	0.020	0.080	0.000	0.020	0.250	0.100	0.000	0.091	0.078
Survey_methodologists	Business	subcategory	transitive_h4	gpt-5.5-low	0.027	0.036	0.091	0.009	0.018	0.273	0.227	0.318	0.020	0.030	0.080	0.000	0.020	0.250	0.250	0.000	0.134	0.080
1970s_United_States_command_and_control_aircraft	Communication	subcategory	transitive_h4	gpt-5.5-low	0.016	0.081	0.203	0.008	0.041	0.407	0.122	0.122	0.020	0.080	0.200	0.000	0.050	0.450	0.150	0.000	0.251	0.191
Eurabia_conspiracy_theory	Concepts	subcategory	transitive_h4	gpt-5.5-low	0.191	0.246	0.301	0.011	0.044	0.137	0.044	0.027	0.350	0.450	0.500	0.000	0.080	0.250	0.100	0.000	0.370	0.040
OpenOffice	Culture	subcategory	transitive_h4	gpt-5.5-low	0.019	0.029	0.096	0.010	0.029	0.240	0.144	0.433	0.020	0.030	0.080	0.000	0.030	0.200	0.150	0.000	0.080	0.056
Lists_of_telecommunications_companies	Economy	subcategory	transitive_h4	gpt-5.5-low	0.034	0.203	0.270	0.007	0.034	0.270	0.081	0.101	0.050	0.250	0.350	0.000	0.050	0.350	0.120	0.000	0.253	0.099
Balamory	Early_childhood_education	subcategory	transitive_h4	gpt-5.5-low	0.045	0.045	0.224	0.007	0.060	0.373	0.112	0.134	0.050	0.050	0.250	0.000	0.080	0.450	0.150	0.000	0.250	0.178
Carts	Energetic_materials	subcategory	transitive_h4	gpt-5.5-low	0.011	0.011	0.022	0.011	0.011	0.110	0.110	0.714	0.000	0.010	0.020	0.000	0.010	0.080	0.080	0.000	0.018	0.012
URL	Entities	subcategory	transitive_h4	gpt-5.5-low	0.268	0.208	0.238	0.012	0.030	0.149	0.048	0.048	0.450	0.350	0.350	0.000	0.050	0.250	0.100	0.000	0.320	0.042
Age_of_Enlightenment	Government	subcategory	transitive_h4	gpt-5.5-low	0.013	0.019	0.287	0.006	0.159	0.350	0.051	0.115	0.000	0.000	0.320	0.000	0.180	0.420	0.050	0.000	0.270	0.177
Thanksgiving_(United_States)	Days_of_the_week	subcategory	transitive_h4	gpt-5.5-low	0.009	0.009	0.028	0.009	0.028	0.170	0.038	0.708	0.000	0.000	0.020	0.000	0.020	0.120	0.020	0.000	0.022	0.021
3D_printer_companies	Information_systems	subcategory	transitive_h4	gpt-5.5-low	0.016	0.047	0.142	0.008	0.094	0.276	0.063	0.354	0.000	0.040	0.120	0.000	0.080	0.250	0.050	0.000	0.099	0.077
Algebraic_identities	Decision-making	subcategory	transitive_h4	gpt-5.5-low	0.010	0.010	0.048	0.010	0.029	0.173	0.048	0.673	0.000	0.000	0.030	0.000	0.020	0.120	0.030	0.000	0.024	0.021
Samoyedic_languages	Language	subcategory	transitive_h4	gpt-5.5-low	0.094	0.338	0.293	0.004	0.094	0.150	0.019	0.008	0.180	0.820	0.700	0.000	0.200	0.350	0.040	0.000	0.572	0.072
Deep_learning_software_applications	Computational_neuroscience	subcategory	transitive_h4	gpt-5.5-low	0.018	0.048	0.242	0.006	0.152	0.364	0.061	0.109	0.000	0.050	0.280	0.000	0.180	0.450	0.080	0.000	0.266	0.192
Biographical_graphic_novels	People	subcategory	transitive_h4	gpt-5.5-low	0.013	0.053	0.252	0.007	0.119	0.344	0.066	0.146	0.000	0.060	0.250	0.000	0.120	0.380	0.080	0.000	0.217	0.146
Ancient_physicists	Philosophy	subcategory	transitive_h4	gpt-5.5-low	0.039	0.121	0.290	0.005	0.155	0.314	0.039	0.039	0.050	0.180	0.450	0.000	0.250	0.500	0.060	0.000	0.352	0.196
Hunger_relief_organizations	Politics	subcategory	transitive_h4	gpt-5.5-low	0.013	0.038	0.224	0.006	0.128	0.397	0.051	0.141	0.000	0.040	0.220	0.000	0.140	0.480	0.060	0.000	0.263	0.209
Tarmidas	Religion	subcategory	transitive_h4	gpt-5.5-low	0.067	0.179	0.312	0.004	0.134	0.201	0.067	0.036	0.100	0.280	0.550	0.000	0.220	0.350	0.120	0.000	0.336	0.101
INHIGEO_members	Science	subcategory	transitive_h4	gpt-5.5-low	0.114	0.257	0.314	0.029	0.029	0.114	0.057	0.086	0.200	0.450	0.550	0.000	0.050	0.200	0.100	0.000	0.341	0.026
Rural_communities_in_New_Brunswick	Society	subcategory	transitive_h4	gpt-5.5-low	0.029	0.324	0.382	0.029	0.029	0.147	0.029	0.029	0.050	0.550	0.650	0.000	0.050	0.250	0.050	0.000	0.468	0.040
World_War_II_propaganda_radio_stations	Science_and_technology	subcategory	transitive_h4	gpt-5.5-low	0.016	0.078	0.194	0.016	0.039	0.271	0.116	0.271	0.000	0.100	0.250	0.000	0.050	0.350	0.150	0.000	0.171	0.097
Saint_George's_Day	Time	subcategory	transitive_h4	gpt-5.5-low	0.036	0.182	0.328	0.015	0.036	0.182	0.073	0.146	0.050	0.250	0.450	0.000	0.050	0.250	0.100	0.000	0.250	0.047
Silver_objects	Universe	subcategory	transitive_h4	gpt-5.5-low	0.108	0.180	0.180	0.014	0.014	0.180	0.072	0.252	0.150	0.250	0.250	0.000	0.020	0.250	0.100	0.000	0.159	0.045
Are_You_Afraid_of_the_Dark?_episode_redirects_to_lists	Sleep	subcategory	transitive_h4	gpt-5.5-low	0.000	0.000	0.020	0.000	0.020	0.081	0.051	0.828	0.000	0.000	0.020	0.000	0.020	0.080	0.050	0.000	0.010	0.007
Defunct_telecommunications_companies_of_the_United_Kingdom	Communication	subcategory	transitive_h4	gpt-5.5-low	0.074	0.345	0.369	0.010	0.039	0.123	0.025	0.015	0.150	0.700	0.750	0.000	0.080	0.250	0.050	0.000	0.565	0.034
Customer_experience	Concepts	subcategory	transitive_h4	gpt-5.5-low	0.285	0.233	0.259	0.026	0.041	0.104	0.026	0.026	0.550	0.450	0.500	0.000	0.080	0.200	0.050	0.000	0.417	0.025
National_Farmers'_Union_of_England_and_Wales_officials	Employers'_organizations	subcategory	transitive_h4	gpt-5.5-low	0.206	0.235	0.206	0.029	0.059	0.147	0.059	0.059	0.350	0.400	0.350	0.000	0.100	0.250	0.100	0.000	0.287	0.044
Films_set_in_Columbia_University	Education	subcategory	transitive_h4	gpt-5.5-low	0.034	0.170	0.238	0.014	0.034	0.204	0.068	0.238	0.050	0.250	0.350	0.000	0.050	0.300	0.100	0.000	0.197	0.063
Defunct_airports_in_Finland	Former_entities	subcategory	transitive_h4	gpt-5.5-low	0.114	0.314	0.200	0.029	0.057	0.143	0.057	0.086	0.150	0.550	0.350	0.000	0.100	0.250	0.100	0.000	0.307	0.057
Southern_Andean_Yungas	Geographical_zones	subcategory	transitive_h4	gpt-5.5-low	0.175	0.375	0.225	0.025	0.050	0.100	0.025	0.025	0.350	0.750	0.450	0.000	0.100	0.200	0.050	0.000	0.470	0.044
Laws_of_Shabbat	Government	subcategory	transitive_h4	gpt-5.5-low	0.016	0.040	0.121	0.016	0.040	0.202	0.202	0.363	0.000	0.050	0.150	0.000	0.050	0.250	0.200	0.000	0.113	0.063
Ultra-distance_cyclists	Physical_fitness	subcategory	transitive_h4	gpt-5.5-low	0.065	0.161	0.290	0.032	0.065	0.226	0.065	0.097	0.100	0.250	0.450	0.000	0.100	0.350	0.100	0.000	0.269	0.094
Disasters_in_Niue	History	subcategory	transitive_h4	gpt-5.5-low	0.035	0.140	0.490	0.021	0.070	0.175	0.035	0.035	0.050	0.200	0.700	0.000	0.100	0.250	0.050	0.000	0.425	0.055
People_named_in_the_Offshore_Leaks_report	Data	subcategory	transitive_h4	gpt-5.5-low	0.032	0.095	0.222	0.019	0.095	0.285	0.127	0.127	0.050	0.150	0.350	0.000	0.150	0.450	0.200	0.000	0.261	0.152
Directors_of_the_National_Institute_of_Allergy_and_Infectious_Diseases	Research	subcategory	transitive_h4	gpt-5.5-low	0.063	0.127	0.348	0.019	0.063	0.222	0.095	0.063	0.100	0.200	0.550	0.000	0.100	0.350	0.150	0.000	0.321	0.088
Free_speech_synthesis_software	Speech–language_pathology	subcategory	transitive_h4	gpt-5.5-low	0.033	0.098	0.261	0.020	0.098	0.294	0.098	0.098	0.050	0.150	0.400	0.000	0.150	0.450	0.150	0.000	0.283	0.155
Nazi_propaganda_radio	Mass_media	subcategory	transitive_h4	gpt-5.5-low	0.068	0.294	0.339	0.014	0.090	0.158	0.023	0.014	0.150	0.650	0.750	0.000	0.200	0.350	0.050	0.000	0.531	0.082
People_from_Želino_Municipality	Statistical_regions	subcategory	transitive_h4	gpt-5.5-low	0.039	0.039	0.118	0.016	0.039	0.197	0.197	0.354	0.050	0.050	0.150	0.000	0.050	0.250	0.250	0.000	0.122	0.062
Mitochondrial_diseases	Natural_events	subcategory	transitive_h4	gpt-5.5-low	0.028	0.019	0.037	0.000	0.000	0.112	0.075	0.729	0.020	0.010	0.030	0.000	0.000	0.080	0.050	0.000	0.015	0.009
Bertrand_Russell_Professors_of_Philosophy	Philosophy	subcategory	transitive_h4	gpt-5.5-low	0.112	0.179	0.314	0.000	0.112	0.224	0.036	0.022	0.200	0.350	0.650	0.000	0.250	0.450	0.050	0.000	0.420	0.129
Linguistic_history_of_Pakistan	Social_history	subcategory	transitive_h4	gpt-5.5-low	0.035	0.139	0.398	0.000	0.090	0.249	0.050	0.040	0.050	0.250	0.750	0.000	0.150	0.450	0.080	0.000	0.464	0.125
Burned_buildings_and_structures_in_China	Disestablishments	subcategory	transitive_h4	gpt-5.5-low	0.024	0.047	0.094	0.000	0.024	0.220	0.236	0.354	0.020	0.050	0.100	0.000	0.020	0.220	0.250	0.000	0.120	0.049
Dolmens_in_the_United_Kingdom	Physical_objects	subcategory	transitive_h4	gpt-5.5-low	0.290	0.340	0.158	0.000	0.041	0.133	0.025	0.012	0.650	0.800	0.350	0.000	0.080	0.300	0.050	0.000	0.561	0.043
Mathematics_curricula_in_the_United_States	Pedagogical_disciplines	subcategory	transitive_h4	gpt-5.5-low	0.082	0.164	0.301	0.000	0.055	0.219	0.098	0.082	0.120	0.250	0.500	0.000	0.080	0.350	0.150	0.000	0.297	0.081
Bird_sonation	Behavior	subcategory	transitive_h4	gpt-5.5-low	0.140	0.178	0.397	0.000	0.056	0.187	0.028	0.014	0.250	0.350	0.800	0.000	0.100	0.350	0.050	0.000	0.487	0.071
Music_sequencers	Communication	subcategory	transitive_h4	gpt-5.5-low	0.074	0.044	0.162	0.000	0.044	0.257	0.162	0.257	0.080	0.050	0.180	0.000	0.050	0.300	0.180	0.000	0.146	0.079
Epithets_of_Hecate	Classical_elements	subcategory	transitive_h4	gpt-5.5-low	0.029	0.010	0.058	0.000	0.029	0.173	0.173	0.529	0.020	0.000	0.050	0.000	0.020	0.150	0.120	0.000	0.051	0.027
Kyiv_National_I._K._Karpenko-Kary_Theatre,_Cinema_and_Television_University	Culture	subcategory	transitive_h4	gpt-5.5-low	0.103	0.064	0.256	0.000	0.064	0.321	0.115	0.077	0.120	0.080	0.350	0.000	0.080	0.450	0.150	0.000	0.274	0.149
Alumni_of_the_European_Schools	Cultural_policy	subcategory	transitive_h5	gpt-5.5-low	0.018	0.027	0.072	0.000	0.027	0.162	0.108	0.586	0.000	0.020	0.050	0.000	0.020	0.120	0.050	0.000	0.030	0.020
Religion	Entities	subcategory	transitive_h5	gpt-5.5-low	0.009	0.217	0.104	0.043	0.017	0.087	0.217	0.304	0.000	0.250	0.100	0.000	0.020	0.080	0.200	0.000	0.116	0.014
Danish_medical_researchers	Health	subcategory	transitive_h5	gpt-5.5-low	0.054	0.238	0.306	0.000	0.027	0.170	0.102	0.102	0.050	0.250	0.350	0.000	0.030	0.180	0.150	0.000	0.216	0.031
Children's_books_about_fairies	Sociology_of_knowledge	subcategory	transitive_h5	gpt-5.5-low	0.009	0.019	0.047	0.000	0.019	0.113	0.113	0.679	0.000	0.010	0.030	0.000	0.010	0.080	0.050	0.000	0.017	0.009
Television_series_about_abuse	Law	subcategory	transitive_h5	gpt-5.5-low	0.008	0.025	0.153	0.000	0.025	0.212	0.153	0.424	0.000	0.020	0.120	0.000	0.020	0.180	0.120	0.000	0.076	0.039
Australian_children's_radio_programs	Mass_media	subcategory	transitive_h5	gpt-5.5-low	0.042	0.397	0.344	0.000	0.042	0.132	0.026	0.016	0.050	0.650	0.550	0.000	0.050	0.180	0.050	0.000	0.476	0.026
Curvature_tensors	Differential_calculus	subcategory	transitive_h5	gpt-5.5-low	0.019	0.159	0.350	0.000	0.076	0.191	0.127	0.076	0.020	0.200	0.450	0.000	0.080	0.220	0.200	0.000	0.264	0.048
Border_barriers	Politics	subcategory	transitive_h5	gpt-5.5-low	0.018	0.179	0.387	0.000	0.071	0.238	0.060	0.048	0.020	0.250	0.550	0.000	0.080	0.300	0.100	0.000	0.341	0.077
Environmental_racism_in_the_United_States	Science	subcategory	transitive_h5	gpt-5.5-low	0.007	0.058	0.254	0.000	0.058	0.275	0.145	0.203	0.000	0.050	0.250	0.000	0.050	0.280	0.180	0.000	0.172	0.080
Text_publication_societies	Time	subcategory	transitive_h5	gpt-5.5-low	0.000	0.010	0.020	0.000	0.010	0.060	0.080	0.820	0.000	0.000	0.010	0.000	0.010	0.030	0.040	0.000	0.005	0.002
Serapeum	Cosmology	subcategory	transitive_h5	gpt-5.5-low	0.027	0.027	0.107	0.009	0.045	0.161	0.071	0.554	0.020	0.020	0.080	0.000	0.030	0.120	0.050	0.000	0.034	0.022
Cultural_depictions_of_Alice_Liddell	Behavior	subcategory	transitive_h5	gpt-5.5-low	0.010	0.010	0.049	0.010	0.029	0.117	0.049	0.728	0.000	0.000	0.030	0.000	0.020	0.080	0.030	0.000	0.013	0.010
Michael_Bloomberg	Communication	subcategory	transitive_h5	gpt-5.5-low	0.026	0.017	0.207	0.009	0.060	0.259	0.078	0.345	0.020	0.010	0.180	0.000	0.050	0.220	0.070	0.000	0.103	0.061
Germany_at_the_1938_FIFA_World_Cup	Cultural_exchange	subcategory	transitive_h5	gpt-5.5-low	0.027	0.018	0.136	0.009	0.055	0.255	0.064	0.436	0.020	0.010	0.100	0.000	0.040	0.200	0.050	0.000	0.071	0.054
Musicals_set_at_parties	Students	subcategory	transitive_h5	gpt-5.5-low	0.010	0.010	0.039	0.010	0.029	0.118	0.039	0.745	0.000	0.000	0.030	0.000	0.020	0.080	0.030	0.000	0.012	0.010
Documentary_films_about_peak_oil	Energy	subcategory	transitive_h5	gpt-5.5-low	0.035	0.035	0.474	0.006	0.139	0.243	0.046	0.023	0.040	0.040	0.680	0.000	0.180	0.350	0.080	0.000	0.439	0.111
Women_video_game_designers	Structure	subcategory	transitive_h5	gpt-5.5-low	0.010	0.010	0.029	0.010	0.020	0.078	0.039	0.804	0.000	0.000	0.020	0.000	0.010	0.050	0.030	0.000	0.006	0.005
Novels_set_in_Lagos	Geography	subcategory	transitive_h5	gpt-5.5-low	0.032	0.076	0.382	0.006	0.115	0.242	0.045	0.102	0.030	0.080	0.450	0.000	0.120	0.300	0.060	0.000	0.268	0.087
People_of_the_Albigensian_Crusade	Knowledge	subcategory	transitive_h5	gpt-5.5-low	0.009	0.009	0.108	0.009	0.045	0.162	0.090	0.568	0.000	0.000	0.080	0.000	0.030	0.120	0.080	0.000	0.037	0.023
Theodicy	Statements	subcategory	transitive_h5	gpt-5.5-low	0.023	0.023	0.273	0.008	0.070	0.195	0.109	0.297	0.020	0.020	0.250	0.000	0.060	0.180	0.120	0.000	0.122	0.043
Croatian_judges_of_international_courts_and_tribunals	Legal_systems	subcategory	transitive_h5	gpt-5.5-low	0.020	0.078	0.176	0.000	0.029	0.176	0.078	0.441	0.000	0.080	0.180	0.000	0.030	0.180	0.050	0.000	0.075	0.034
British_Christian_hymns	Poetry_about_spirituality	subcategory	transitive_h5	gpt-5.5-low	0.020	0.218	0.354	0.000	0.082	0.190	0.054	0.082	0.000	0.350	0.550	0.000	0.120	0.280	0.080	0.000	0.338	0.064
Olivetti_products	Mathematical_tools	subcategory	transitive_h5	gpt-5.5-low	0.020	0.051	0.082	0.000	0.020	0.184	0.082	0.561	0.000	0.050	0.080	0.000	0.020	0.180	0.050	0.000	0.047	0.035
Depictions_of_Grand_Duchess_Anastasia_Nikolaevna_of_Russia_on_film	Christian_monarchs	subcategory	transitive_h5	gpt-5.5-low	0.019	0.029	0.117	0.000	0.039	0.214	0.175	0.408	0.000	0.030	0.120	0.000	0.040	0.220	0.120	0.000	0.084	0.054
20th-century_disestablishments_in_Newfoundland	Former_monarchies	subcategory	transitive_h5	gpt-5.5-low	0.030	0.079	0.139	0.000	0.030	0.158	0.119	0.446	0.000	0.080	0.140	0.000	0.030	0.160	0.080	0.000	0.061	0.029
Parental_leave_in_the_United_States	Time_management	subcategory	transitive_h5	gpt-5.5-low	0.019	0.038	0.173	0.000	0.048	0.269	0.115	0.337	0.000	0.040	0.180	0.000	0.050	0.280	0.100	0.000	0.122	0.080
Live_albums_recorded_at_the_Royal_Albert_Hall	Venues	subcategory	transitive_h5	gpt-5.5-low	0.019	0.048	0.115	0.000	0.077	0.404	0.096	0.240	0.000	0.050	0.120	0.000	0.080	0.420	0.080	0.000	0.200	0.178
Software_that_uses_VTK	Economy	subcategory	transitive_h5	gpt-5.5-low	0.010	0.010	0.021	0.000	0.000	0.052	0.052	0.854	0.000	0.010	0.020	0.000	0.000	0.050	0.030	0.000	0.005	0.003
Former_subdivisions_of_Canada	Territorial_entities	subcategory	transitive_h5	gpt-5.5-low	0.026	0.377	0.273	0.000	0.078	0.143	0.052	0.052	0.000	0.620	0.450	0.000	0.120	0.220	0.080	0.000	0.401	0.042
Seafaring_films	Works_about_geography	subcategory	transitive_h5	gpt-5.5-low	0.022	0.134	0.299	0.000	0.075	0.261	0.075	0.134	0.000	0.180	0.420	0.000	0.100	0.350	0.080	0.000	0.254	0.100
Documentary_films_about_drugs	Health	subcategory	transitive_h5	gpt-5.5-low	0.042	0.156	0.286	0.010	0.062	0.286	0.062	0.094	0.050	0.220	0.420	0.000	0.080	0.380	0.120	0.000	0.278	0.116
Easter_egg_(media)	Sociology_of_scientific_knowledge	subcategory	transitive_h5	gpt-5.5-low	0.009	0.019	0.046	0.009	0.028	0.111	0.111	0.667	0.000	0.010	0.030	0.000	0.020	0.080	0.050	0.000	0.017	0.012
Clerks_of_the_New_Zealand_House_of_Representatives	Law	subcategory	transitive_h5	gpt-5.5-low	0.047	0.147	0.282	0.012	0.047	0.235	0.082	0.147	0.050	0.180	0.350	0.000	0.060	0.280	0.120	0.000	0.206	0.072
1970s_murders_in_El_Salvador	Death	subcategory	transitive_h5	gpt-5.5-low	0.123	0.263	0.298	0.004	0.044	0.197	0.035	0.035	0.200	0.450	0.550	0.000	0.080	0.320	0.080	0.000	0.376	0.067
Power_outages_in_North_America	Power_control	subcategory	transitive_h5	gpt-5.5-low	0.026	0.104	0.302	0.010	0.094	0.339	0.062	0.062	0.030	0.140	0.420	0.000	0.120	0.480	0.120	0.000	0.323	0.175
Converts_to_the_Bahá'i_Faith_from_Protestantism	Religion_and_society	subcategory	transitive_h5	gpt-5.5-low	0.055	0.193	0.358	0.009	0.073	0.252	0.037	0.023	0.080	0.300	0.650	0.000	0.120	0.420	0.100	0.000	0.413	0.116
Crucifixion_of_Jesus_in_art	Society	subcategory	transitive_h5	gpt-5.5-low	0.018	0.073	0.273	0.006	0.073	0.315	0.109	0.133	0.020	0.080	0.320	0.000	0.080	0.360	0.180	0.000	0.232	0.124
21st-century_Indian_women_educational_theorists	Education_studies	subcategory	transitive_h5	gpt-5.5-low	0.116	0.256	0.339	0.004	0.058	0.186	0.025	0.017	0.180	0.450	0.720	0.000	0.100	0.320	0.080	0.000	0.447	0.066
Films_based_on_Persuasion_(novel)	Change	subcategory	transitive_h5	gpt-5.5-low	0.018	0.027	0.071	0.009	0.035	0.159	0.106	0.575	0.010	0.020	0.050	0.000	0.030	0.120	0.080	0.000	0.033	0.022
High-technology_business_districts_in_Chennai	Economy	subcategory	transitive_h5	gpt-5.5-low	0.074	0.247	0.309	0.008	0.058	0.247	0.033	0.025	0.120	0.420	0.620	0.000	0.100	0.450	0.080	0.000	0.423	0.118
Birds_of_the_Yungas	Geographic_classifications	subcategory	transitive_h5	gpt-5.5-low	0.000	0.154	0.192	0.000	0.038	0.192	0.077	0.346	0.000	0.250	0.350	0.000	0.050	0.250	0.100	0.000	0.163	0.050
Parasitic_nematodes_of_tetrapods	Health	subcategory	transitive_h5	gpt-5.5-low	0.000	0.062	0.312	0.000	0.039	0.273	0.117	0.195	0.000	0.100	0.450	0.000	0.050	0.350	0.150	0.000	0.262	0.098
Beer_Hall_Putsch_participants	Historiography	subcategory	transitive_h5	gpt-5.5-low	0.000	0.034	0.169	0.000	0.034	0.297	0.127	0.339	0.000	0.050	0.250	0.000	0.050	0.350	0.150	0.000	0.169	0.106
Plant_nothogenera	Procedural_knowledge	subcategory	transitive_h5	gpt-5.5-low	0.000	0.000	0.032	0.000	0.000	0.054	0.054	0.860	0.000	0.000	0.030	0.000	0.000	0.050	0.050	0.000	0.006	0.003
